"filename", "language", "Python", "Perl", "Markdown", "Shell Script", "C++", "Makefile", "XML", "pip requirements", "Ini", "C", "Docker", "Properties", "Java", "YAML", "JSON", "CMake", "HTML", "reStructuredText", "Visual Basic", "CSS", "SCSS", "Diff", "Log", "comment", "blank", "total"
"f:\archlab_gem5\gem5\ext\softfloat\s_f128UIToCommonNaN.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 6
"f:\archlab_gem5\gem5\ext\softfloat\s_f16UIToCommonNaN.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 6
"f:\archlab_gem5\gem5\ext\softfloat\s_f32UIToCommonNaN.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 6
"f:\archlab_gem5\gem5\ext\softfloat\s_f64UIToCommonNaN.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 6
"f:\archlab_gem5\gem5\ext\softfloat\s_invalidExtF80M.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 7, 50
"f:\archlab_gem5\gem5\ext\softfloat\s_invalidF128M.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 7, 54
"f:\archlab_gem5\gem5\ext\softfloat\s_isNaNF128M.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 7, 58
"f:\archlab_gem5\gem5\ext\softfloat\s_le128.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 9, 52
"f:\archlab_gem5\gem5\ext\softfloat\s_lt128.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 9, 52
"f:\archlab_gem5\gem5\ext\softfloat\s_mul128By32.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 9, 59
