Date : 2023-08-12 15:10:49
Directory : f:\archlab_gem5\gem5
Total : 8923 files,  1356429 codes, 440589 comments, 272074 blanks, all 2069092 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| f:\archlab_gem5\gem5\src\mem\shared_memory_server.hh                                                                                                               | C++              |         55 |         26 |         18 |         99 |
| f:\archlab_gem5\gem5\src\mem\simple_mem.cc                                                                                                                         | C++              |        201 |         75 |         49 |        325 |
| f:\archlab_gem5\gem5\src\mem\simple_mem.hh                                                                                                                         | C++              |         70 |         99 |         37 |        206 |
| f:\archlab_gem5\gem5\src\mem\slicc\__init__.py                                                                                                                     | Python           |          0 |         25 |          1 |         26 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\AST.py                                                                                                                      | Python           |         25 |         29 |          9 |         63 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\ActionDeclAST.py                                                                                                            | Python           |         57 |         28 |         17 |        102 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\AssignStatementAST.py                                                                                                       | Python           |         22 |         31 |          9 |         62 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\CheckAllocateStatementAST.py                                                                                                | Python           |         13 |         28 |          8 |         49 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\CheckNextCycleAST.py                                                                                                        | Python           |          9 |         27 |          6 |         42 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\CheckProbeStatementAST.py                                                                                                   | Python           |         15 |         35 |          7 |         57 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\DeclAST.py                                                                                                                  | Python           |          8 |         26 |          6 |         40 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\DeclListAST.py                                                                                                              | Python           |         18 |         26 |          8 |         52 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\DeferEnqueueingStatementAST.py                                                                                              | Python           |         45 |         33 |         14 |         92 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\EnqueueStatementAST.py                                                                                                      | Python           |         53 |         31 |         14 |         98 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\EnumDeclAST.py                                                                                                              | Python           |         40 |         29 |         13 |         82 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\EnumExprAST.py                                                                                                              | Python           |         21 |         27 |         10 |         58 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\ExprAST.py                                                                                                                  | Python           |         13 |         26 |          6 |         45 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\ExprStatementAST.py                                                                                                         | Python           |         21 |         28 |          8 |         57 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\FormalParamAST.py                                                                                                           | Python           |         41 |         42 |         11 |         94 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\FuncCallExprAST.py                                                                                                          | Python           |        135 |        132 |         31 |        298 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\FuncDeclAST.py                                                                                                              | Python           |         64 |         30 |         20 |        114 |
