Date : 2023-08-12 15:10:49
Directory : f:\archlab_gem5\gem5
Total : 8923 files,  1356429 codes, 440589 comments, 272074 blanks, all 2069092 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\endian_conv\golden\test_endian_conv.log                                                                                 | Log              |      1,088 |          0 |        117 |      1,205 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\endian_conv\test_endian_conv.cpp                                                                                        | C++              |        297 |         57 |         66 |        420 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\endian_conv\testall.py                                                                                                  | Python           |        381 |        112 |         74 |        567 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\multi_sockets\MultiSocketSimpleSwitchAT.h                                                                               | C++              |        259 |         53 |         29 |        341 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\multi_sockets\extensionPool.h                                                                                           | C++              |         73 |         21 |         13 |        107 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\multi_sockets\golden\multi_sockets.log                                                                                  | Log              |        151 |          0 |          1 |        152 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\multi_sockets\multi_sockets.cpp                                                                                         | C++              |         47 |         11 |         16 |         74 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\multi_sockets\simpleAddressMap.h                                                                                        | C++              |         83 |         46 |         20 |        149 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\nb2b_adapter\golden\nb2b_adapter.log                                                                                    | Log              |          2 |          0 |          1 |          3 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\nb2b_adapter\mm.h                                                                                                       | C++              |         65 |          5 |         16 |         86 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\nb2b_adapter\nb2b_adapter.cpp                                                                                           | C++              |        297 |          3 |         77 |        377 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\p2p\BaseSocketLT\base_socket_LT.cpp                                                                                     | C++              |         12 |         18 |          7 |         37 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\p2p\BaseSocketLT\golden\base_socket_LT.log                                                                              | Log              |         32 |          0 |          2 |         34 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\p2p\CoreDecoupling\core_decoupling.cpp                                                                                  | C++              |         13 |         18 |          6 |         37 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\p2p\CoreDecoupling\golden\core_decoupling.log                                                                           | Log              |         65 |          0 |          2 |         67 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\p2p\EndEventLT\end_event_LT.cpp                                                                                         | C++              |         12 |         18 |          7 |         37 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\p2p\EndEventLT\golden\end_event_LT.log                                                                                  | Log              |         32 |          0 |          2 |         34 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\p2p\HierarchicalSocket\SimpleInitiatorWrapper.h                                                                         | C++              |         27 |         18 |         11 |         56 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\p2p\HierarchicalSocket\SimpleTargetWrapper.h                                                                            | C++              |         27 |         18 |         11 |         56 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\p2p\HierarchicalSocket\golden\hierarchical_socket.log                                                                   | Log              |         32 |          0 |          2 |         34 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\p2p\HierarchicalSocket\hierarchical_socket.cpp                                                                          | C++              |         12 |         20 |          9 |         41 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\p2p\RegisterSocketProcessLT\golden\register_socket_process_LT.log                                                       | Log              |         32 |          0 |          2 |         34 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\p2p\RegisterSocketProcessLT\register_socket_process_LT.cpp                                                              | C++              |         12 |         18 |          6 |         36 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\p2p\SimpleAT\golden\simple_AT.log                                                                                       | Log              |         32 |          0 |          2 |         34 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\p2p\SimpleAT\simple_AT.cpp                                                                                              | C++              |         13 |         18 |          6 |         37 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\p2p\SimpleAT_TA\golden\simple_AT_TA.log                                                                                 | Log              |         32 |          0 |          2 |         34 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\p2p\SimpleAT_TA\simple_AT_TA.cpp                                                                                        | C++              |         13 |         18 |          6 |         37 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\static_extensions\ext2gp2ext\SimpleLTInitiator_ext.h                                                                    | C++              |        243 |         54 |         47 |        344 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\static_extensions\ext2gp2ext\SimpleLTTarget_ext.h                                                                       | C++              |        131 |         28 |         28 |        187 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\static_extensions\ext2gp2ext\ext2gp2ext.cpp                                                                             | C++              |         21 |         18 |          7 |         46 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\static_extensions\ext2gp2ext\extension_adaptors.h                                                                       | C++              |        137 |         53 |         23 |        213 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\static_extensions\ext2gp2ext\golden\ext2gp2ext.log                                                                      | Log              |         78 |          0 |          4 |         82 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\static_extensions\ext2gp2ext\my_extension.h                                                                             | C++              |         32 |         18 |          7 |         57 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\static_extensions\ext2gp\SimpleLTInitiator_ext.h                                                                        | C++              |        243 |         54 |         47 |        344 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\static_extensions\ext2gp\ext2gp.cpp                                                                                     | C++              |         16 |         18 |          7 |         41 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\static_extensions\ext2gp\extension_adaptors.h                                                                           | C++              |        137 |         53 |         23 |        213 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\static_extensions\ext2gp\golden\ext2gp.log                                                                              | Log              |         62 |          0 |          4 |         66 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\static_extensions\ext2gp\my_extension.h                                                                                 | C++              |         32 |         18 |          7 |         57 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\static_extensions\gp2ext\SimpleLTTarget_ext.h                                                                           | C++              |        131 |         28 |         28 |        187 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\static_extensions\gp2ext\extension_adaptors.h                                                                           | C++              |        137 |         53 |         23 |        213 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\static_extensions\gp2ext\golden\gp2ext.log                                                                              | Log              |         78 |          0 |          4 |         82 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\static_extensions\gp2ext\gp2ext.cpp                                                                                     | C++              |         16 |         18 |          7 |         41 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\static_extensions\gp2ext\my_extension.h                                                                                 | C++              |         32 |         18 |          7 |         57 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\update_original\golden\update_original.log                                                                              | Log              |          2 |          0 |          1 |          3 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\update_original\mm.h                                                                                                    | C++              |         65 |          5 |         16 |         86 |
| f:\archlab_gem5\gem5\src\systemc\tests\tlm\update_original\update_original.cpp                                                                                     | C++              |        197 |         11 |         63 |        271 |
| f:\archlab_gem5\gem5\src\systemc\tests\verify.py                                                                                                                   | Python           |        515 |         33 |        134 |        682 |
| f:\archlab_gem5\gem5\src\systemc\tlm_bridge\SConscript                                                                                                             | Python           |         12 |         24 |          6 |         42 |
| f:\archlab_gem5\gem5\src\systemc\tlm_bridge\TlmBridge.py                                                                                                           | Python           |         81 |         24 |         41 |        146 |
| f:\archlab_gem5\gem5\src\systemc\tlm_bridge\gem5_to_tlm.cc                                                                                                         | C++              |        387 |        168 |         89 |        644 |
| f:\archlab_gem5\gem5\src\systemc\tlm_bridge\gem5_to_tlm.hh                                                                                                         | C++              |        126 |         75 |         29 |        230 |
| f:\archlab_gem5\gem5\src\systemc\tlm_bridge\sc_ext.cc                                                                                                              | C++              |        240 |         32 |         47 |        319 |
| f:\archlab_gem5\gem5\src\systemc\tlm_bridge\sc_ext.hh                                                                                                              | C++              |         80 |         38 |         26 |        144 |
| f:\archlab_gem5\gem5\src\systemc\tlm_bridge\sc_mm.cc                                                                                                               | C++              |         30 |         31 |          8 |         69 |
| f:\archlab_gem5\gem5\src\systemc\tlm_bridge\sc_mm.hh                                                                                                               | C++              |         21 |         31 |         10 |         62 |
| f:\archlab_gem5\gem5\src\systemc\tlm_bridge\tlm_to_gem5.cc                                                                                                         | C++              |        442 |        117 |         89 |        648 |
| f:\archlab_gem5\gem5\src\systemc\tlm_bridge\tlm_to_gem5.hh                                                                                                         | C++              |         92 |         59 |         33 |        184 |
| f:\archlab_gem5\gem5\src\systemc\tlm_core\2\generic_payload\SConscript                                                                                             | Python           |          4 |         24 |          3 |         31 |
| f:\archlab_gem5\gem5\src\systemc\tlm_core\2\generic_payload\gp.cc                                                                                                  | C++              |        250 |         64 |         41 |        355 |
| f:\archlab_gem5\gem5\src\systemc\tlm_core\2\generic_payload\phase.cc                                                                                               | C++              |         73 |         19 |         20 |        112 |
| f:\archlab_gem5\gem5\src\systemc\tlm_core\2\quantum\SConscript                                                                                                     | Python           |          5 |         24 |          3 |         32 |
| f:\archlab_gem5\gem5\src\systemc\tlm_core\2\quantum\global_quantum.cc                                                                                              | C++              |         27 |         18 |          7 |         52 |
| f:\archlab_gem5\gem5\src\systemc\tlm_core\2\quantum\global_quantum_python.cc                                                                                       | C++              |         17 |         26 |          5 |         48 |
| f:\archlab_gem5\gem5\src\systemc\tlm_port_wrapper.hh                                                                                                               | C++              |         86 |         28 |         26 |        140 |
| f:\archlab_gem5\gem5\src\systemc\tlm_utils\SConscript                                                                                                              | Python           |          4 |         24 |          3 |         31 |
| f:\archlab_gem5\gem5\src\systemc\tlm_utils\convenience_socket_bases.cc                                                                                             | C++              |         56 |         19 |         15 |         90 |
| f:\archlab_gem5\gem5\src\systemc\tlm_utils\instance_specific_extensions.cc                                                                                         | C++              |        192 |         30 |         44 |        266 |
| f:\archlab_gem5\gem5\src\systemc\utils\SConscript                                                                                                                  | Python           |         11 |         24 |          3 |         38 |
| f:\archlab_gem5\gem5\src\systemc\utils\functions.cc                                                                                                                | C++              |         20 |         26 |          6 |         52 |
| f:\archlab_gem5\gem5\src\systemc\utils\messages.cc                                                                                                                 | C++              |         47 |         26 |         11 |         84 |
| f:\archlab_gem5\gem5\src\systemc\utils\report.cc                                                                                                                   | C++              |         62 |         26 |         20 |        108 |
| f:\archlab_gem5\gem5\src\systemc\utils\report.hh                                                                                                                   | C++              |         75 |         28 |         24 |        127 |
| f:\archlab_gem5\gem5\src\systemc\utils\sc_report.cc                                                                                                                | C++              |        137 |         26 |         21 |        184 |
| f:\archlab_gem5\gem5\src\systemc\utils\sc_report_handler.cc                                                                                                        | C++              |        323 |         28 |         67 |        418 |
| f:\archlab_gem5\gem5\src\systemc\utils\sc_trace_file.cc                                                                                                            | C++              |        365 |         26 |         67 |        458 |
| f:\archlab_gem5\gem5\src\systemc\utils\sc_vector.cc                                                                                                                | C++              |         54 |         44 |         15 |        113 |
| f:\archlab_gem5\gem5\src\systemc\utils\tracefile.cc                                                                                                                | C++              |         50 |         27 |         13 |         90 |
| f:\archlab_gem5\gem5\src\systemc\utils\tracefile.hh                                                                                                                | C++              |        207 |         26 |         46 |        279 |
| f:\archlab_gem5\gem5\src\systemc\utils\vcd.cc                                                                                                                      | C++              |        576 |         31 |         97 |        704 |
| f:\archlab_gem5\gem5\src\systemc\utils\vcd.hh                                                                                                                      | C++              |        104 |         26 |         24 |        154 |
| f:\archlab_gem5\gem5\system\arm\bootloader\arm64\makefile                                                                                                          | Makefile         |         39 |         28 |         15 |         82 |
| f:\archlab_gem5\gem5\system\arm\bootloader\arm\makefile                                                                                                            | Makefile         |         14 |         36 |         11 |         61 |
| f:\archlab_gem5\gem5\system\arm\dt\Makefile                                                                                                                        | Makefile         |         66 |         26 |         23 |        115 |
| f:\archlab_gem5\gem5\tests\compiler-tests.sh                                                                                                                       | Shell Script     |        105 |         29 |         29 |        163 |
| f:\archlab_gem5\gem5\tests\configs\dram-lowp.py                                                                                                                    | Python           |         10 |         43 |          8 |         61 |
| f:\archlab_gem5\gem5\tests\configs\gpu-randomtest-ruby.py                                                                                                          | Python           |         78 |         64 |         23 |        165 |
| f:\archlab_gem5\gem5\tests\configs\gpu-ruby.py                                                                                                                     | Python           |        299 |         92 |         43 |        434 |
| f:\archlab_gem5\gem5\tests\configs\memcheck.py                                                                                                                     | Python           |          8 |         43 |         10 |         61 |
| f:\archlab_gem5\gem5\tests\configs\memtest-filter.py                                                                                                               | Python           |         33 |         37 |         14 |         84 |
| f:\archlab_gem5\gem5\tests\configs\memtest-ruby.py                                                                                                                 | Python           |         50 |         51 |         22 |        123 |
| f:\archlab_gem5\gem5\tests\configs\memtest.py                                                                                                                      | Python           |         27 |         37 |         14 |         78 |
| f:\archlab_gem5\gem5\tests\configs\minor-timing-mp.py                                                                                                              | Python           |          9 |         37 |          3 |         49 |
| f:\archlab_gem5\gem5\tests\configs\minor-timing.py                                                                                                                 | Python           |          5 |         37 |          3 |         45 |
| f:\archlab_gem5\gem5\tests\configs\o3-timing-checker.py                                                                                                            | Python           |          8 |         34 |          3 |         45 |
| f:\archlab_gem5\gem5\tests\configs\o3-timing-mp-ruby.py                                                                                                            | Python           |         22 |         35 |         12 |         69 |
| f:\archlab_gem5\gem5\tests\configs\o3-timing-mp.py                                                                                                                 | Python           |          9 |         37 |          3 |         49 |
| f:\archlab_gem5\gem5\tests\configs\o3-timing-mt.py                                                                                                                 | Python           |         21 |         40 |          3 |         64 |
| f:\archlab_gem5\gem5\tests\configs\o3-timing-ruby.py                                                                                                               | Python           |         18 |         29 |         10 |         57 |
| f:\archlab_gem5\gem5\tests\configs\o3-timing.py                                                                                                                    | Python           |         15 |         40 |          3 |         58 |
| f:\archlab_gem5\gem5\tests\configs\pc-o3-timing.py                                                                                                                 | Python           |          5 |         34 |          3 |         42 |
| f:\archlab_gem5\gem5\tests\configs\pc-simple-atomic.py                                                                                                             | Python           |          5 |         34 |          3 |         42 |
| f:\archlab_gem5\gem5\tests\configs\pc-simple-timing-ruby.py                                                                                                        | Python           |         45 |         35 |         12 |         92 |
| f:\archlab_gem5\gem5\tests\configs\pc-simple-timing.py                                                                                                             | Python           |          5 |         34 |          3 |         42 |
| f:\archlab_gem5\gem5\tests\configs\pc-switcheroo-full.py                                                                                                           | Python           |          8 |         37 |          4 |         49 |
| f:\archlab_gem5\gem5\tests\configs\rubytest-ruby.py                                                                                                                | Python           |         55 |         59 |         23 |        137 |
| f:\archlab_gem5\gem5\tests\configs\simple-atomic-dummychecker.py                                                                                                   | Python           |          5 |         34 |          3 |         42 |
| f:\archlab_gem5\gem5\tests\configs\simple-atomic-mp-ruby.py                                                                                                        | Python           |         20 |         35 |         12 |         67 |
| f:\archlab_gem5\gem5\tests\configs\simple-atomic-mp.py                                                                                                             | Python           |          6 |         37 |          3 |         46 |
| f:\archlab_gem5\gem5\tests\configs\simple-atomic.py                                                                                                                | Python           |          5 |         37 |          3 |         45 |
| f:\archlab_gem5\gem5\tests\configs\simple-timing-mp-ruby.py                                                                                                        | Python           |         37 |         42 |         19 |         98 |
| f:\archlab_gem5\gem5\tests\configs\simple-timing-mp.py                                                                                                             | Python           |          6 |         37 |          3 |         46 |
| f:\archlab_gem5\gem5\tests\configs\simple-timing-ruby.py                                                                                                           | Python           |         44 |         43 |         18 |        105 |
| f:\archlab_gem5\gem5\tests\configs\simple-timing.py                                                                                                                | Python           |          5 |         37 |          3 |         45 |
| f:\archlab_gem5\gem5\tests\configs\t1000-simple-atomic.py                                                                                                          | Python           |         24 |         28 |          8 |         60 |
| f:\archlab_gem5\gem5\tests\configs\x86_generic.py                                                                                                                  | Python           |         49 |         56 |         19 |        124 |
| f:\archlab_gem5\gem5\tests\gem5\__init__.py                                                                                                                        | Python           |          4 |         25 |          3 |         32 |
| f:\archlab_gem5\gem5\tests\gem5\arm-boot-tests\test_linux_boot.py                                                                                                  | Python           |        126 |         27 |         26 |        179 |
| f:\archlab_gem5\gem5\tests\gem5\asmtest\tests.py                                                                                                                   | Python           |        162 |         30 |          6 |        198 |
| f:\archlab_gem5\gem5\tests\gem5\configs\arm_boot_exit_run.py                                                                                                       | Python           |        151 |         41 |         37 |        229 |
| f:\archlab_gem5\gem5\tests\gem5\configs\arm_generic.py                                                                                                             | Python           |        114 |         85 |         31 |        230 |
| f:\archlab_gem5\gem5\tests\gem5\configs\base_caches.py                                                                                                             | Python           |         29 |         44 |         13 |         86 |
| f:\archlab_gem5\gem5\tests\gem5\configs\base_config.py                                                                                                             | Python           |        212 |        125 |         49 |        386 |
| f:\archlab_gem5\gem5\tests\gem5\configs\boot_kvm_fork_run.py                                                                                                       | Python           |        165 |         48 |         29 |        242 |
| f:\archlab_gem5\gem5\tests\gem5\configs\boot_kvm_switch_exit.py                                                                                                    | Python           |        142 |         40 |         24 |        206 |
| f:\archlab_gem5\gem5\tests\gem5\configs\checkpoint.py                                                                                                              | Python           |         60 |         57 |         17 |        134 |
| f:\archlab_gem5\gem5\tests\gem5\configs\download_check.py                                                                                                          | Python           |         87 |         31 |         19 |        137 |
| f:\archlab_gem5\gem5\tests\gem5\configs\parsec_disk_run.py                                                                                                         | Python           |        175 |         42 |         38 |        255 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview-minor-dual.py                                                                                                     | Python           |         10 |         34 |          3 |         47 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview-minor.py                                                                                                          | Python           |          9 |         34 |          3 |         46 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview-o3-checker.py                                                                                                     | Python           |         11 |         34 |          3 |         48 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview-o3-dual.py                                                                                                        | Python           |         11 |         34 |          3 |         48 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview-o3.py                                                                                                             | Python           |         10 |         34 |          3 |         47 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview-simple-atomic-checkpoint.py                                                                                       | Python           |         12 |         34 |          5 |         51 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview-simple-atomic-dual.py                                                                                             | Python           |         10 |         34 |          3 |         47 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview-simple-atomic.py                                                                                                  | Python           |          9 |         34 |          3 |         46 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview-simple-timing-dual-ruby.py                                                                                        | Python           |         11 |         34 |          3 |         48 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview-simple-timing-dual.py                                                                                             | Python           |         10 |         34 |          3 |         47 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview-simple-timing-ruby.py                                                                                             | Python           |         10 |         34 |          3 |         47 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview-simple-timing.py                                                                                                  | Python           |          9 |         34 |          3 |         46 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview-switcheroo-atomic.py                                                                                              | Python           |          8 |         36 |          4 |         48 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview-switcheroo-full.py                                                                                                | Python           |         15 |         36 |          4 |         55 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview-switcheroo-noncaching-timing.py                                                                                   | Python           |          7 |         36 |          4 |         47 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview-switcheroo-o3.py                                                                                                  | Python           |         10 |         36 |          4 |         50 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview-switcheroo-timing.py                                                                                              | Python           |          8 |         36 |          4 |         48 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview64-kvm-dual.py                                                                                                     | Python           |         12 |         34 |          3 |         49 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview64-kvm.py                                                                                                          | Python           |          8 |         34 |          3 |         45 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview64-minor-dual.py                                                                                                   | Python           |          8 |         34 |          3 |         45 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview64-minor.py                                                                                                        | Python           |          5 |         34 |          3 |         42 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview64-o3-checker.py                                                                                                   | Python           |         10 |         34 |          3 |         47 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview64-o3-dual-ruby.py                                                                                                 | Python           |         10 |         34 |          3 |         47 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview64-o3-dual.py                                                                                                      | Python           |          9 |         34 |          3 |         46 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview64-o3.py                                                                                                           | Python           |          6 |         34 |          3 |         43 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview64-simple-atomic-checkpoint.py                                                                                     | Python           |         10 |         34 |          5 |         49 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview64-simple-atomic-dual.py                                                                                           | Python           |          8 |         34 |          3 |         45 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview64-simple-atomic.py                                                                                                | Python           |          5 |         34 |          3 |         42 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview64-simple-timing-dual-ruby.py                                                                                      | Python           |          9 |         34 |          3 |         46 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview64-simple-timing-dual.py                                                                                           | Python           |          8 |         34 |          3 |         45 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview64-simple-timing-ruby.py                                                                                           | Python           |          8 |         34 |          3 |         45 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview64-simple-timing.py                                                                                                | Python           |          5 |         34 |          3 |         42 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview64-switcheroo-atomic.py                                                                                            | Python           |          8 |         36 |          4 |         48 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview64-switcheroo-full.py                                                                                              | Python           |         13 |         36 |          4 |         53 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview64-switcheroo-o3.py                                                                                                | Python           |          7 |         36 |          4 |         47 |
| f:\archlab_gem5\gem5\tests\gem5\configs\realview64-switcheroo-timing.py                                                                                            | Python           |          8 |         36 |          4 |         48 |
| f:\archlab_gem5\gem5\tests\gem5\configs\requires_check.py                                                                                                          | Python           |         19 |         28 |          9 |         56 |
| f:\archlab_gem5\gem5\tests\gem5\configs\riscv_boot_exit_run.py                                                                                                     | Python           |        116 |         40 |         25 |        181 |
| f:\archlab_gem5\gem5\tests\gem5\configs\runtime_isa_check.py                                                                                                       | Python           |         24 |         29 |         10 |         63 |
| f:\archlab_gem5\gem5\tests\gem5\configs\simple_binary_run.py                                                                                                       | Python           |         97 |         33 |         20 |        150 |
| f:\archlab_gem5\gem5\tests\gem5\configs\supported_isa_check.py                                                                                                     | Python           |         29 |         29 |         11 |         69 |
| f:\archlab_gem5\gem5\tests\gem5\configs\switcheroo.py                                                                                                              | Python           |         59 |         70 |         20 |        149 |
| f:\archlab_gem5\gem5\tests\gem5\configs\x86_boot_exit_run.py                                                                                                       | Python           |        150 |         36 |         26 |        212 |
| f:\archlab_gem5\gem5\tests\gem5\cpu_tests\run.py                                                                                                                   | Python           |        107 |         38 |         41 |        186 |
| f:\archlab_gem5\gem5\tests\gem5\cpu_tests\test.py                                                                                                                  | Python           |         45 |         41 |         12 |         98 |
| f:\archlab_gem5\gem5\tests\gem5\dram-lowp\test_dram_lowp.py                                                                                                        | Python           |         20 |         25 |          5 |         50 |
| f:\archlab_gem5\gem5\tests\gem5\fixture.py                                                                                                                         | Python           |        238 |         94 |         68 |        400 |
| f:\archlab_gem5\gem5\tests\gem5\fs\linux\arm\run.py                                                                                                                | Python           |         24 |         43 |         16 |         83 |
| f:\archlab_gem5\gem5\tests\gem5\fs\linux\arm\test.py                                                                                                               | Python           |        110 |         50 |         21 |        181 |
| f:\archlab_gem5\gem5\tests\gem5\gem5-resources\test_download_resources.py                                                                                          | Python           |         18 |         25 |          4 |         47 |
| f:\archlab_gem5\gem5\tests\gem5\gem5_library_example_tests\test_gem5_library_examples.py                                                                           | Python           |        271 |         91 |         22 |        384 |
| f:\archlab_gem5\gem5\tests\gem5\gpu\test_gpu_ruby_random.py                                                                                                        | Python           |         25 |         54 |          6 |         85 |
| f:\archlab_gem5\gem5\tests\gem5\gpu\test_gpu_ruby_random_wbL2.py                                                                                                   | Python           |         25 |         54 |          6 |         85 |
| f:\archlab_gem5\gem5\tests\gem5\insttest_se\test.py                                                                                                                | Python           |         33 |         28 |          7 |         68 |
| f:\archlab_gem5\gem5\tests\gem5\kvm-fork-tests\test_kvm_fork_run.py                                                                                                | Python           |         82 |         33 |         18 |        133 |
| f:\archlab_gem5\gem5\tests\gem5\kvm-switch-tests\test_kvm_cpu_switch.py                                                                                            | Python           |         84 |         33 |         18 |        135 |
| f:\archlab_gem5\gem5\tests\gem5\learning_gem5\part1_test.py                                                                                                        | Python           |         34 |         27 |          7 |         68 |
| f:\archlab_gem5\gem5\tests\gem5\learning_gem5\part2_test.py                                                                                                        | Python           |         32 |         29 |          8 |         69 |
| f:\archlab_gem5\gem5\tests\gem5\learning_gem5\part3_test.py                                                                                                        | Python           |         22 |         31 |          6 |         59 |
| f:\archlab_gem5\gem5\tests\gem5\m5_util\test_exit.py                                                                                                               | Python           |         26 |         40 |          5 |         71 |
| f:\archlab_gem5\gem5\tests\gem5\m5threads_test_atomic\atomic_system.py                                                                                             | Python           |         53 |         31 |         20 |        104 |
| f:\archlab_gem5\gem5\tests\gem5\m5threads_test_atomic\caches.py                                                                                                    | Python           |         46 |         44 |         26 |        116 |
| f:\archlab_gem5\gem5\tests\gem5\m5threads_test_atomic\test.py                                                                                                      | Python           |         28 |         34 |          7 |         69 |
